Turkey,Turkey,TUR,85927644,Asia,14894731,98157,173340,1142,0.659004852
Turks and Caicos,Turks and Caicos Islands,TCAÂ ,39634,Latin America and the Caribbean,5910,36,149114,908,0.609137056
UAE,United Arab Emirates,ARE,10099567,Asia,892170,2302,88337,228,0.258022574
Uganda,Uganda,UGA,48267221,Africa,163936,3595,3396,74,2.192928948
UK,United Kingdom of Great Britain and Northern Ireland,GBR,68510300,Europe,21216874,165570,309689,2417,0.780369436
Ukraine,Ukraine,UKR,43273831,Europe,4968881,107980,114824,2495,2.173125096
Uruguay,Uruguay,URY,3494806,Latin America and the Caribbean,889513,7166,254524,2050,0.805609362
USA,United States of America,USA,334400597,Northern America,81839052,1008222,244734,3015,1.231957086
Uzbekistan,Uzbekistan,UZB,34318156,Asia,237853,1637,6931,48,0.688240216
Vanuatu,Vanuatu,VUT,319701,Oceania,4107,2,12846,6,0.048697346
Vatican City,Holy See,VAT,805,Europe,29,0,36025,0,0
Venezuela,Venezuela (Bolivarian Republic of),VEN,28294895,Latin America and the Caribbean,520843,5686,18408,201,1.091691738
Vietnam,Viet Nam,VNM,98871712,Asia,9818328,42600,99304,431,0.433882429
Wallis and Futuna,Wallis and Futuna Islands,WLF,10894,Oceania,454,7,41674,643,1.54185022
Western Sahara,Western Sahara,ESHÂ ,623031,Africa,10,1,16,2,10
Yemen,Yemen,YEM,30975258,Asia,11806,2143,381,69,18.15178723
Zambia,Zambia,ZMB,19284482,Africa,317076,3967,16442,206,1.251119605
Zimbabwe,Zimbabwe,ZWE,15241601,Africa,246525,5446,16174,357,2.209106581
