Number,Date,Hour,Store,Sales,Total,Card
61,2012-01-01,09:02,Garland,Garden,134.33,Discover
62,2012-01-01,09:02,Kansas City,Garden,302.69,MasterCard
63,2012-01-01,09:02,Atlanta,Toys,254.62,Discover
64,2012-01-01,09:02,Boise,Baby,130.54,Discover
65,2012-01-01,09:02,New York,Consumer Electronics,153.84,Amex
66,2012-01-01,09:02,Riverside,Toys,2,Cash
67,2012-01-01,09:03,San Bernardino,Women's Clothing,100.38,Discover
68,2012-01-01,09:03,Wichita,Men's Clothing,460.38,MasterCard
69,2012-01-01,09:03,Santa Ana,Video Games,107.94,Visa
70,2012-01-01,09:03,New Orleans,Books,157.08,Discover
71,2012-01-01,09:03,Fremont,Men's Clothing,243.05,Discover
72,2012-01-01,09:03,Pittsburgh,Music,46.99,Discover
73,2012-01-01,09:03,Memphis,Toys,9.47,MasterCard
74,2012-01-01,09:03,Chicago,Garden,16.15,Visa
75,2012-01-01,09:03,Virginia Beach,Cameras,271.56,Discover
76,2012-01-01,09:03,Omaha,Children's Clothing,387.75,Visa
77,2012-01-01,09:03,Tucson,Health and Beauty,367.76,Visa
78,2012-01-01,09:03,Nashville,Men's Clothing,297.43,Amex
79,2012-01-01,09:03,Washington,Books,392.81,Discover
80,2012-01-01,09:03,Greensboro,Garden,11.96,MasterCard
81,2012-01-01,09:03,Tulsa,Crafts,20.07,Discover
82,2012-01-01,09:03,Cincinnati,DVDs,299.55,Visa
83,2012-01-01,09:03,Charlotte,DVDs,440.11,Visa
84,2012-01-01,09:03,Austin,Crafts,127.8,Discover
85,2012-01-01,09:03,Anchorage,DVDs,390.2,Visa
86,2012-01-01,09:03,Albuquerque,Pet Supplies,440.7,Cash
87,2012-01-01,09:03,Santa Ana,Video Games,294.98,Cash
88,2012-01-01,09:03,Milwaukee,Men's Clothing,418.91,Discover
89,2012-01-01,09:03,Jacksonville,Computers,359.65,MasterCard
90,2012-01-01,09:04,Phoenix,Sporting Goods,371.21,Visa
91,2012-01-01,09:04,Anchorage,Health and Beauty,368.42,MasterCard
92,2012-01-01,09:04,Norfolk,Consumer Electronics,480.24,Cash
93,2012-01-01,09:04,San Antonio,CDs,125.35,Amex
94,2012-01-01,09:04,New Orleans,DVDs,242.31,Discover
95,2012-01-01,09:04,Riverside,Computers,278.61,Discover
96,2012-01-01,09:04,St. Petersburg,CDs,152.9,Discover
97,2012-01-01,09:04,Lubbock,Sporting Goods,452.07,Visa
98,2012-01-01,09:04,Toledo,Baby,59.08,Cash
99,2012-01-01,09:04,Oakland,Garden,155.33,Visa
100,2012-01-01,09:04,Philadelphia,Pet Supplies,332.48,Amex
101,2012-01-01,09:04,Scottsdale,Children's Clothing,419.06,Discover
102,2012-01-01,09:04,Chandler,Women's Clothing,423.12,Cash
103,2012-01-01,09:04,San Diego,Consumer Electronics,25.74,MasterCard
104,2012-01-01,09:04,Anaheim,Baby,66.07,Visa
105,2012-01-01,09:04,Lincoln,Books,482.94,Discover
106,2012-01-01,09:04,Jersey City,Music,11.29,Cash
107,2012-01-01,09:04,Santa Ana,Crafts,215.22,Discover
108,2012-01-01,09:04,Philadelphia,Women's Clothing,482.97,MasterCard
109,2012-01-01,09:04,Minneapolis,Books,322.37,Cash
110,2012-01-01,09:04,El Paso,Sporting Goods,103.01,Visa
111,2012-01-01,09:04,Boston,Video Games,366.56,Cash
112,2012-01-01,09:04,Washington,Toys,257.67,MasterCard
113,2012-01-01,09:05,Austin,Health and Beauty,483.1,Visa
114,2012-01-01,09:05,Tampa,Crafts,437.19,Discover
115,2012-01-01,09:05,Boston,Children's Clothing,31.79,Amex
116,2012-01-01,09:05,Cleveland,Men's Clothing,427.43,Amex
117,2012-01-01,09:05,Arlington,Video Games,400.08,MasterCard
118,2012-01-01,09:05,Fresno,Crafts,461.48,Cash
119,2012-01-01,09:05,Kansas City,Books,133.57,Cash
120,2012-01-01,09:05,Phoenix,Crafts,489.8,Visa
121,2012-01-01,09:05,Riverside,Pet Supplies,84.4,Cash
122,2012-01-01,09:05,Columbus,Health and Beauty,392.5,Visa
123,2012-01-01,09:05,Cincinnati,Books,23.83,Amex
124,2012-01-01,09:05,Houston,Music,461.11,Discover
125,2012-01-01,09:05,Kansas City,Women's Clothing,293.16,Cash
126,2012-01-01,09:05,Fort Worth,Crafts,360.34,Visa
127,2012-01-01,09:05,Raleigh,Men's Clothing,314.1,MasterCard
128,2012-01-01,09:05,Lubbock,Garden,366.13,Discover
129,2012-01-01,09:05,Seattle,Men's Clothing,481.32,Discover
130,2012-01-01,09:05,Greensboro,Cameras,306.01,Visa
131,2012-01-01,09:05,Detroit,Crafts,134.89,Amex
132,2012-01-01,09:05,Rochester,Video Games,75.73,Visa
133,2012-01-01,09:06,Jersey City,Toys,339.77,Amex
134,2012-01-01,09:06,Omaha,Health and Beauty,333.15,MasterCard
135,2012-01-01,09:06,Jacksonville,Consumer Electronics,345.1,Amex
136,2012-01-01,09:06,Nashville,CDs,467.62,Amex
137,2012-01-01,09:06,Omaha,DVDs,164.38,Cash
138,2012-01-01,09:06,Dallas,Books,273.49,Amex
139,2012-01-01,09:06,Long Beach,CDs,98.23,Amex
140,2012-01-01,09:06,Scottsdale,Music,461.2,Amex
141,2012-01-01,09:06,Lexington,Consumer Electronics,446.19,Discover
142,2012-01-01,09:06,Honolulu,Children's Clothing,39.82,Discover
143,2012-01-01,09:06,Pittsburgh,DVDs,255.59,Visa
144,2012-01-01,09:06,Memphis,Health and Beauty,47.38,Amex
145,2012-01-01,09:06,Memphis,Video Games,58.66,Visa
146,2012-01-01,09:06,Kansas City,Music,364.24,Amex
147,2012-01-01,09:06,Lexington,Baby,274.99,Discover
148,2012-01-01,09:06,Toledo,Baby,350.97,MasterCard
149,2012-01-01,09:06,Jersey City,Children's Clothing,114.9,Visa
150,2012-01-01,09:06,Denver,Women's Clothing,173.72,Visa
151,2012-01-01,09:06,Houston,Music,331.68,MasterCard
152,2012-01-01,09:06,Mesa,Children's Clothing,314.05,MasterCard
153,2012-01-01,09:07,Madison,Computers,160.9,Visa
154,2012-01-01,09:07,Santa Ana,Pet Supplies,304.16,Amex
155,2012-01-01,09:07,Gilbert,Toys,74.71,Visa
156,2012-01-01,09:07,Jacksonville,Men's Clothing,203.43,Visa
157,2012-01-01,09:07,Gilbert,CDs,299.3,Discover
158,2012-01-01,09:07,Seattle,CDs,453.07,Amex
159,2012-01-01,09:07,Reno,Computers,62.14,Visa
160,2012-01-01,09:07,Saint Paul,Pet Supplies,138.93,Visa
161,2012-01-01,09:07,Bakersfield,Children's Clothing,217.79,Discover
162,2012-01-01,09:07,Chesapeake,Health and Beauty,343.04,Amex
163,2012-01-01,09:07,Glendale,Books,220.63,MasterCard
164,2012-01-01,09:07,Durham,Computers,422.56,MasterCard
165,2012-01-01,09:07,New Orleans,Pet Supplies,382.41,Cash
166,2012-01-01,09:07,Honolulu,Garden,332.58,Cash
167,2012-01-01,09:07,Chandler,Books,467.48,MasterCard
168,2012-01-01,09:07,Boston,Video Games,208.69,MasterCard
169,2012-01-01,09:07,Baltimore,Crafts,7.98,Discover
170,2012-01-01,09:07,Denver,Consumer Electronics,239.49,Discover
171,2012-01-01,09:07,Lubbock,DVDs,390.35,MasterCard
172,2012-01-01,09:07,San Diego,Children's Clothing,357.1,Cash
173,2012-01-01,09:07,North Las Vegas,Toys,409.26,Cash
174,2012-01-01,09:08,Lincoln,Children's Clothing,92.93,MasterCard
175,2012-01-01,09:08,Miami,Children's Clothing,191.28,MasterCard
176,2012-01-01,09:08,Phoenix,Music,94.3,Visa
177,2012-01-01,09:08,Miami,Crafts,140.47,Amex
178,2012-01-01,09:08,Irvine,Computers,208.16,MasterCard
179,2012-01-01,09:08,Madison,Crafts,337.8,Visa
180,2012-01-01,09:08,Los Angeles,Toys,37.77,Visa
181,2012-01-01,09:08,Fresno,Sporting Goods,60.92,Visa
182,2012-01-01,09:08,Tulsa,Women's Clothing,206.82,Discover
183,2012-01-01,09:08,Jacksonville,Video Games,422,Amex
184,2012-01-01,09:08,Albuquerque,Pet Supplies,484.24,Discover
185,2012-01-01,09:08,Memphis,Toys,449.7,Amex
186,2012-01-01,09:08,Chicago,Sporting Goods,98.92,MasterCard
187,2012-01-01,09:08,New Orleans,Men's Clothing,336.28,Visa
188,2012-01-01,09:08,Anaheim,Sporting Goods,48.34,MasterCard
189,2012-01-01,09:08,Orlando,Baby,160.07,Cash
190,2012-01-01,09:08,Oakland,Women's Clothing,346.66,Visa
191,2012-01-01,09:08,Fort Worth,Cameras,400.35,Visa
192,2012-01-01,09:08,Winston–Salem,Toys,361.66,Visa
193,2012-01-01,09:08,Boston,Toys,88.56,Discover
194,2012-01-01,09:08,St. Petersburg,Crafts,34.54,Discover
195,2012-01-01,09:09,Toledo,Video Games,195.18,Discover
196,2012-01-01,09:09,Lubbock,Women's Clothing,308.53,Cash
197,2012-01-01,09:09,Albuquerque,Crafts,149.94,Cash
198,2012-01-01,09:09,Mesa,Garden,70.75,MasterCard
199,2012-01-01,09:09,Omaha,Consumer Electronics,435.3,Visa
200,2012-01-01,09:09,Chesapeake,Garden,333.31,MasterCard
201,2012-01-01,09:09,Louisville,Sporting Goods,111.32,Discover
202,2012-01-01,09:09,San Francisco,CDs,442.79,Cash
203,2012-01-01,09:09,Jersey City,Garden,329.03,MasterCard
204,2012-01-01,09:09,Irving,Books,163.57,Cash
205,2012-01-01,09:09,Lexington,CDs,4.4,Visa
206,2012-01-01,09:09,Cleveland,Health and Beauty,105.56,Amex
207,2012-01-01,09:09,Hialeah,Women's Clothing,176.98,Visa
208,2012-01-01,09:09,Dallas,Pet Supplies,481.52,Cash
209,2012-01-01,09:09,Toledo,CDs,495.81,Cash
210,2012-01-01,09:09,San Jose,Toys,337.71,Cash
211,2012-01-01,09:09,Milwaukee,Sporting Goods,487.86,Visa
212,2012-01-01,09:09,Kansas City,Pet Supplies,129.79,MasterCard
213,2012-01-01,09:09,New York,Baby,326.88,Discover
214,2012-01-01,09:09,Las Vegas,CDs,152.94,Visa
215,2012-01-01,09:09,Spokane,Crafts,230.81,Visa
216,2012-01-01,09:09,Raleigh,Crafts,443.46,MasterCard
217,2012-01-01,09:09,Houston,Children's Clothing,183.38,Discover
218,2012-01-01,09:09,Winston–Salem,Music,411.46,Cash
219,2012-01-01,09:09,Tucson,Children's Clothing,247.4,Amex
220,2012-01-01,09:09,Baltimore,DVDs,269.7,Visa
221,2012-01-01,09:09,Lubbock,Women's Clothing,102.79,Discover
222,2012-01-01,09:09,Plano,Men's Clothing,181.96,MasterCard
223,2012-01-01,09:10,Norfolk,Books,274.88,MasterCard
224,2012-01-01,09:10,Charlotte,Health and Beauty,318.25,Amex
225,2012-01-01,09:10,New York,Women's Clothing,257.19,Amex
226,2012-01-01,09:10,Reno,DVDs,49.61,MasterCard
227,2012-01-01,09:10,Tampa,Music,286.88,Amex
228,2012-01-01,09:10,Boston,Men's Clothing,282.6,Visa
229,2012-01-01,09:10,Philadelphia,Baby,259.14,Visa
230,2012-01-01,09:10,Lincoln,Women's Clothing,235.9,Cash
231,2012-01-01,09:10,Jacksonville,Pet Supplies,325.19,Cash
232,2012-01-01,09:10,San Francisco,Books,411.08,MasterCard
233,2012-01-01,09:10,Toledo,Music,173.44,Discover
234,2012-01-01,09:10,Corpus Christi,Health and Beauty,293.04,Cash
235,2012-01-01,09:10,Honolulu,Pet Supplies,255.96,Cash
236,2012-01-01,09:10,Lubbock,Garden,496.04,MasterCard
237,2012-01-01,09:10,Scottsdale,Consumer Electronics,423.52,MasterCard
238,2012-01-01,09:10,Louisville,CDs,255.28,Cash
239,2012-01-01,09:10,Durham,Crafts,296.45,Amex
240,2012-01-01,09:10,Lexington,DVDs,87.86,Visa
241,2012-01-01,09:10,Minneapolis,Computers,106.08,Visa
242,2012-01-01,09:10,El Paso,Pet Supplies,26.72,MasterCard
243,2012-01-01,09:11,Long Beach,Pet Supplies,42.48,Discover
244,2012-01-01,09:11,Charlotte,CDs,137.64,Visa
245,2012-01-01,09:11,Winston–Salem,DVDs,102.39,Cash
246,2012-01-01,09:11,Anaheim,Garden,447.8,Discover
247,2012-01-01,09:11,Oakland,DVDs,160.96,MasterCard
248,2012-01-01,09:11,Dallas,Computers,57.3,Amex
249,2012-01-01,09:11,Santa Ana,Men's Clothing,428.78,Discover
250,2012-01-01,09:11,Memphis,Garden,157.59,Cash
251,2012-01-01,09:11,Charlotte,Children's Clothing,408.1,Cash
252,2012-01-01,09:11,Nashville,Pet Supplies,405.18,Cash
253,2012-01-01,09:11,Oakland,Men's Clothing,347.48,Amex
254,2012-01-01,09:11,Baltimore,Cameras,467.63,Amex
255,2012-01-01,09:11,Columbus,Children's Clothing,142.24,MasterCard
256,2012-01-01,09:11,St. Petersburg,Video Games,89.34,Visa
257,2012-01-01,09:11,Seattle,Crafts,375.07,Discover
258,2012-01-01,09:12,San Bernardino,Video Games,398.46,Amex
259,2012-01-01,09:12,Wichita,Garden,296.63,MasterCard
260,2012-01-01,09:12,Mesa,Video Games,27.56,Discover
261,2012-01-01,09:12,Anaheim,CDs,341.43,Amex
262,2012-01-01,09:12,Seattle,Crafts,162.97,Cash
263,2012-01-01,09:12,Baltimore,Crafts,308.4,Visa
264,2012-01-01,09:12,Washington,Books,64.95,Cash
265,2012-01-01,09:12,Denver,Computers,189.88,Amex
266,2012-01-01,09:12,Tulsa,CDs,336.92,Discover
267,2012-01-01,09:12,San Antonio,Consumer Electronics,336.38,MasterCard
268,2012-01-01,09:12,Oklahoma City,Music,162.52,Discover
269,2012-01-01,09:12,Garland,Women's Clothing,0.71,MasterCard
270,2012-01-01,09:12,Houston,DVDs,450.71,Discover
271,2012-01-01,09:12,Seattle,DVDs,353.58,MasterCard
272,2012-01-01,09:12,Rochester,Sporting Goods,363.83,Amex
273,2012-01-01,09:12,Tampa,Video Games,33.89,MasterCard
274,2012-01-01,09:12,Lexington,Cameras,150.73,Discover
275,2012-01-01,09:12,Fremont,Pet Supplies,17.12,Cash
276,2012-01-01,09:12,Arlington,Computers,25.46,Visa
277,2012-01-01,09:12,Mesa,Toys,11.54,Cash
278,2012-01-01,09:12,Anaheim,Sporting Goods,274.68,MasterCard
279,2012-01-01,09:13,Irving,Children's Clothing,331.38,Discover
280,2012-01-01,09:13,Baton Rouge,Computers,347.62,Amex
281,2012-01-01,09:13,Bakersfield,Computers,368.94,Visa
282,2012-01-01,09:13,Toledo,Men's Clothing,397.95,Discover
283,2012-01-01,09:13,Chula Vista,Garden,11.25,MasterCard
284,2012-01-01,09:13,North Las Vegas,DVDs,366.12,Visa
285,2012-01-01,09:13,Mesa,Baby,270.85,MasterCard
286,2012-01-01,09:13,Nashville,Books,178.48,Visa
287,2012-01-01,09:13,Jersey City,Garden,46.07,Cash
288,2012-01-01,09:13,Virginia Beach,Garden,208.7,Cash
289,2012-01-01,09:13,Oklahoma City,Health and Beauty,495.4,Visa
290,2012-01-01,09:13,Birmingham,Cameras,331.7,Visa
291,2012-01-01,09:13,Atlanta,Women's Clothing,292.35,Visa
292,2012-01-01,09:13,New York,Consumer Electronics,301.4,MasterCard
293,2012-01-01,09:13,Glendale,Pet Supplies,199.67,Amex
294,2012-01-01,09:13,Greensboro,Women's Clothing,11.22,Amex
295,2012-01-01,09:13,Nashville,Crafts,48.45,Discover
296,2012-01-01,09:13,Tampa,Music,237.29,MasterCard
297,2012-01-01,09:13,Lubbock,Video Games,322.19,Visa
298,2012-01-01,09:14,Rochester,Garden,297.72,Cash
299,2012-01-01,09:14,San Diego,Baby,188.46,Visa
300,2012-01-01,09:14,Nashville,Men's Clothing,457.96,Amex
301,2012-01-01,09:14,Washington,Music,340.32,MasterCard
302,2012-01-01,09:14,Baltimore,CDs,221.79,Amex
303,2012-01-01,09:14,Riverside,Sporting Goods,187.28,MasterCard
304,2012-01-01,09:14,Corpus Christi,Music,297.13,Amex
305,2012-01-01,09:14,Irvine,DVDs,415.36,Amex
306,2012-01-01,09:14,Baltimore,Crafts,191.65,Discover
307,2012-01-01,09:14,El Paso,Health and Beauty,460.68,Cash
308,2012-01-01,09:14,Corpus Christi,Video Games,485.96,Cash
309,2012-01-01,09:14,Nashville,Cameras,59.72,Discover
310,2012-01-01,09:14,Spokane,Cameras,343.49,Amex
311,2012-01-01,09:14,Kansas City,Baby,39.26,Visa
312,2012-01-01,09:14,Houston,DVDs,25.59,Cash
313,2012-01-01,09:14,Long Beach,Pet Supplies,106.57,Discover
314,2012-01-01,09:14,Birmingham,Men's Clothing,407.53,MasterCard
315,2012-01-01,09:14,Cincinnati,Crafts,216.99,Visa
316,2012-01-01,09:14,Portland,Garden,25.72,Visa
317,2012-01-01,09:14,Greensboro,Consumer Electronics,438.7,Visa
318,2012-01-01,09:14,St. Louis,Women's Clothing,298.76,Cash
319,2012-01-01,09:14,Jersey City,Computers,169.4,MasterCard
320,2012-01-01,09:15,Columbus,Garden,403.7,MasterCard
321,2012-01-01,09:15,Honolulu,Music,164.92,Amex
322,2012-01-01,09:15,North Las Vegas,Video Games,393.76,Amex
323,2012-01-01,09:15,Scottsdale,Men's Clothing,30.36,Visa
324,2012-01-01,09:15,Winston–Salem,Women's Clothing,380.75,Discover
325,2012-01-01,09:15,San Bernardino,Sporting Goods,243.99,Discover
326,2012-01-01,09:15,Albuquerque,Health and Beauty,192.48,Amex
327,2012-01-01,09:15,Richmond,Women's Clothing,397.36,Discover
328,2012-01-01,09:15,Anaheim,Music,456.53,Amex
329,2012-01-01,09:15,Irving,Video Games,111.36,Discover
330,2012-01-01,09:15,Columbus,Women's Clothing,197.37,Visa
331,2012-01-01,09:15,Colorado Springs,Crafts,163.28,MasterCard
332,2012-01-01,09:15,Indianapolis,Baby,142.02,Amex
333,2012-01-01,09:15,Washington,Music,68.44,Cash
334,2012-01-01,09:15,Bakersfield,Cameras,91.01,MasterCard
335,2012-01-01,09:15,Albuquerque,Music,305,MasterCard
336,2012-01-01,09:15,Houston,Computers,263.44,Cash
337,2012-01-01,09:15,Durham,Cameras,13.49,Cash
338,2012-01-01,09:15,Richmond,DVDs,203.84,MasterCard
339,2012-01-01,09:15,Greensboro,Men's Clothing,7.06,Visa
340,2012-01-01,09:16,Fremont,Women's Clothing,120.64,MasterCard
341,2012-01-01,09:16,Greensboro,Garden,484.16,Discover
342,2012-01-01,09:16,Boston,Books,477.91,Amex
343,2012-01-01,09:16,San Antonio,Pet Supplies,260.12,Discover
344,2012-01-01,09:16,Philadelphia,Health and Beauty,275.79,Discover
345,2012-01-01,09:16,Chicago,Toys,465.46,Visa
346,2012-01-01,09:16,Nashville,Cameras,452.04,Discover
347,2012-01-01,09:16,Lubbock,Health and Beauty,220.18,MasterCard
348,2012-01-01,09:16,Irving,Cameras,199.42,Visa
349,2012-01-01,09:16,Chesapeake,Consumer Electronics,3.85,Amex
350,2012-01-01,09:16,Scottsdale,Men's Clothing,492.96,Visa
351,2012-01-01,09:16,Buffalo,Health and Beauty,344.08,Visa
352,2012-01-01,09:16,Anaheim,Women's Clothing,21.53,MasterCard
353,2012-01-01,09:16,Tulsa,Men's Clothing,127.16,Visa
354,2012-01-01,09:16,Albuquerque,Cameras,326.11,Amex
355,2012-01-01,09:16,Fort Wayne,Cameras,283.99,Amex
356,2012-01-01,09:16,Lincoln,Women's Clothing,314.08,MasterCard
357,2012-01-01,09:16,St. Petersburg,DVDs,183.24,Cash
358,2012-01-01,09:16,Indianapolis,Women's Clothing,105.47,Amex
359,2012-01-01,09:16,Louisville,Pet Supplies,317.72,MasterCard
360,2012-01-01,09:16,Reno,Music,19.99,MasterCard
361,2012-01-01,09:16,Anchorage,Consumer Electronics,118.46,Cash
362,2012-01-01,09:17,Irvine,Books,105.3,Discover
363,2012-01-01,09:17,Irving,CDs,87.49,Discover
364,2012-01-01,09:17,Scottsdale,Children's Clothing,295.9,Cash
365,2012-01-01,09:17,Irvine,Crafts,152.12,Amex
366,2012-01-01,09:17,Plano,Toys,21.01,Discover
367,2012-01-01,09:17,Spokane,Sporting Goods,335.68,Visa
368,2012-01-01,09:17,Wichita,Women's Clothing,84.55,MasterCard
369,2012-01-01,09:17,Chula Vista,Sporting Goods,389.23,Visa
370,2012-01-01,09:17,Birmingham,Health and Beauty,368.69,Discover
371,2012-01-01,09:17,Gilbert,Health and Beauty,465.6,Cash
372,2012-01-01,09:17,Sacramento,Sporting Goods,141.59,Discover
373,2012-01-01,09:17,Boston,CDs,360.81,Cash
374,2012-01-01,09:17,Fresno,Health and Beauty,326.29,MasterCard
375,2012-01-01,09:17,Kansas City,DVDs,41.77,MasterCard
376,2012-01-01,09:17,Columbus,Baby,494.66,Discover
377,2012-01-01,09:17,San Jose,Garden,192.82,Cash
378,2012-01-01,09:17,Atlanta,Books,109.02,Cash
379,2012-01-01,09:17,Stockton,Health and Beauty,310.11,MasterCard
380,2012-01-01,09:17,Saint Paul,Garden,85.57,MasterCard
381,2012-01-01,09:17,Laredo,Toys,303.26,Cash
382,2012-01-01,09:17,Sacramento,Cameras,42.43,Cash
383,2012-01-01,09:17,Austin,Video Games,112.66,Amex
384,2012-01-01,09:18,Chesapeake,Crafts,371.14,Cash
385,2012-01-01,09:18,Albuquerque,Computers,233.1,Cash
386,2012-01-01,09:18,San Francisco,Consumer Electronics,154.01,MasterCard
387,2012-01-01,09:18,Mesa,Baby,249.36,Amex
388,2012-01-01,09:18,Henderson,Sporting Goods,124.52,Amex
389,2012-01-01,09:18,Seattle,DVDs,52.72,MasterCard
390,2012-01-01,09:18,New York,DVDs,117.98,Visa
391,2012-01-01,09:18,New Orleans,Toys,32.96,Amex
392,2012-01-01,09:18,Hialeah,Music,485.06,Discover
393,2012-01-01,09:18,Cleveland,Sporting Goods,289.73,Amex
394,2012-01-01,09:18,Baton Rouge,Music,322,Discover
395,2012-01-01,09:18,Reno,Children's Clothing,165.85,Visa
396,2012-01-01,09:18,Bakersfield,Consumer Electronics,498.93,Discover
397,2012-01-01,09:18,Lubbock,Music,222.47,Amex
398,2012-01-01,09:18,Arlington,CDs,166.33,Discover
399,2012-01-01,09:19,Milwaukee,Baby,28.36,Discover
400,2012-01-01,09:19,Indianapolis,Health and Beauty,1.29,Amex
401,2012-01-01,09:19,Corpus Christi,Video Games,82.54,MasterCard
402,2012-01-01,09:19,Omaha,Cameras,436.01,Discover
403,2012-01-01,09:19,Los Angeles,Pet Supplies,389.7,Visa
404,2012-01-01,09:19,Chesapeake,Video Games,349.23,Cash
405,2012-01-01,09:19,Glendale,Sporting Goods,279.86,MasterCard
406,2012-01-01,09:19,Richmond,Crafts,203.2,MasterCard
407,2012-01-01,09:19,Cincinnati,Sporting Goods,90.8,Discover
408,2012-01-01,09:19,Sacramento,Consumer Electronics,446.96,Discover
409,2012-01-01,09:19,Mesa,Women's Clothing,284.34,Discover
410,2012-01-01,09:19,San Jose,Cameras,95.81,Cash
411,2012-01-01,09:19,San Jose,Pet Supplies,253.33,Discover
412,2012-01-01,09:19,Fort Worth,Men's Clothing,358.08,MasterCard
413,2012-01-01,09:19,Garland,Health and Beauty,82.08,MasterCard
414,2012-01-01,09:19,Anaheim,Books,357.37,Discover
415,2012-01-01,09:19,Birmingham,Women's Clothing,192.95,Cash
416,2012-01-01,09:19,Albuquerque,Computers,290.43,MasterCard
417,2012-01-01,09:20,Raleigh,Consumer Electronics,314.21,Discover
418,2012-01-01,09:20,Miami,Men's Clothing,498.32,Amex
419,2012-01-01,09:20,San Bernardino,Baby,145.21,Visa
420,2012-01-01,09:20,Newark,Women's Clothing,243.21,Cash
421,2012-01-01,09:20,Gilbert,Music,388.29,Discover
422,2012-01-01,09:20,Richmond,Children's Clothing,131.91,Cash
423,2012-01-01,09:20,Las Vegas,Garden,478.53,Cash
424,2012-01-01,09:20,San Francisco,Women's Clothing,133.31,Cash
425,2012-01-01,09:20,Portland,Consumer Electronics,95,MasterCard
